rank,name,skillId,source,installCount,detailPath,detailUrl
69,supabase-postgres-best-practices,supabase-postgres-best-practices,/supabase/agent-skills,37091,supabase/agent-skills/supabase-postgres-best-practices,https://skills.sh/supabase/agent-skills/supabase-postgres-best-practices
70,pptx,pptx,/anthropics/skills,36764,anthropics/skills/pptx,https://skills.sh/anthropics/skills/pptx
71,next-best-practices,next-best-practices,/vercel-labs/next-skills,36673,vercel-labs/next-skills/next-best-practices,https://skills.sh/vercel-labs/next-skills/next-best-practices
72,audit-website,audit-website,/squirrelscan/skills,35869,squirrelscan/skills/audit-website,https://skills.sh/squirrelscan/skills/audit-website
73,azure-postgres,azure-postgres,/microsoft/github-copilot-for-azure,34754,microsoft/github-copilot-for-azure/azure-postgres,https://skills.sh/microsoft/github-copilot-for-azure/azure-postgres
74,systematic-debugging,systematic-debugging,/obra/superpowers,32719,obra/superpowers/systematic-debugging,https://skills.sh/obra/superpowers/systematic-debugging
75,docx,docx,/anthropics/skills,32326,anthropics/skills/docx,https://skills.sh/anthropics/skills/docx
76,writing-plans,writing-plans,/obra/superpowers,30882,obra/superpowers/writing-plans,https://skills.sh/obra/superpowers/writing-plans
77,xlsx,xlsx,/anthropics/skills,29695,anthropics/skills/xlsx,https://skills.sh/anthropics/skills/xlsx
78,azure-quotas,azure-quotas,/microsoft/azure-skills,28678,microsoft/azure-skills/azure-quotas,https://skills.sh/microsoft/azure-skills/azure-quotas
79,marketing-psychology,marketing-psychology,/coreyhaines31/marketingskills,27855,coreyhaines31/marketingskills/marketing-psychology,https://skills.sh/coreyhaines31/marketingskills/marketing-psychology
80,test-driven-development,test-driven-development,/obra/superpowers,27165,obra/superpowers/test-driven-development,https://skills.sh/obra/superpowers/test-driven-development
81,using-superpowers,using-superpowers,/obra/superpowers,26117,obra/superpowers/using-superpowers,https://skills.sh/obra/superpowers/using-superpowers
82,webapp-testing,webapp-testing,/anthropics/skills,25942,anthropics/skills/webapp-testing,https://skills.sh/anthropics/skills/webapp-testing
83,executing-plans,executing-plans,/obra/superpowers,25643,obra/superpowers/executing-plans,https://skills.sh/obra/superpowers/executing-plans
84,requesting-code-review,requesting-code-review,/obra/superpowers,25116,obra/superpowers/requesting-code-review,https://skills.sh/obra/superpowers/requesting-code-review
85,programmatic-seo,programmatic-seo,/coreyhaines31/marketingskills,25095,coreyhaines31/marketingskills/programmatic-seo,https://skills.sh/coreyhaines31/marketingskills/programmatic-seo
86,content-strategy,content-strategy,/coreyhaines31/marketingskills,25022,coreyhaines31/marketingskills/content-strategy,https://skills.sh/coreyhaines31/marketingskills/content-strategy
87,better-auth-best-practices,better-auth-best-practices,/better-auth/skills,24050,better-auth/skills/better-auth-best-practices,https://skills.sh/better-auth/skills/better-auth-best-practices
88,shadcn,shadcn,/shadcn/ui,23553,shadcn/ui/shadcn,https://skills.sh/shadcn/ui/shadcn
89,product-marketing-context,product-marketing-context,/coreyhaines31/marketingskills,23223,coreyhaines31/marketingskills/product-marketing-context,https://skills.sh/coreyhaines31/marketingskills/product-marketing-context
90,social-content,social-content,/coreyhaines31/marketingskills,23019,coreyhaines31/marketingskills/social-content,https://skills.sh/coreyhaines31/marketingskills/social-content
91,marketing-ideas,marketing-ideas,/coreyhaines31/marketingskills,22775,coreyhaines31/marketingskills/marketing-ideas,https://skills.sh/coreyhaines31/marketingskills/marketing-ideas
92,mcp-builder,mcp-builder,/anthropics/skills,22449,anthropics/skills/mcp-builder,https://skills.sh/anthropics/skills/mcp-builder
93,pricing-strategy,pricing-strategy,/coreyhaines31/marketingskills,21745,coreyhaines31/marketingskills/pricing-strategy,https://skills.sh/coreyhaines31/marketingskills/pricing-strategy
94,copy-editing,copy-editing,/coreyhaines31/marketingskills,21567,coreyhaines31/marketingskills/copy-editing,https://skills.sh/coreyhaines31/marketingskills/copy-editing
95,subagent-driven-development,subagent-driven-development,/obra/superpowers,21354,obra/superpowers/subagent-driven-development,https://skills.sh/obra/superpowers/subagent-driven-development
96,page-cro,page-cro,/coreyhaines31/marketingskills,20413,coreyhaines31/marketingskills/page-cro,https://skills.sh/coreyhaines31/marketingskills/page-cro
97,canvas-design,canvas-design,/anthropics/skills,20307,anthropics/skills/canvas-design,https://skills.sh/anthropics/skills/canvas-design
98,tailwind-design-system,tailwind-design-system,/wshobson/agents,20231,wshobson/agents/tailwind-design-system,https://skills.sh/wshobson/agents/tailwind-design-system
99,analytics-tracking,analytics-tracking,/coreyhaines31/marketingskills,20090,coreyhaines31/marketingskills/analytics-tracking,https://skills.sh/coreyhaines31/marketingskills/analytics-tracking
100,verification-before-completion,verification-before-completion,/obra/superpowers,19939,obra/superpowers/verification-before-completion,https://skills.sh/obra/superpowers/verification-before-completion
101,launch-strategy,launch-strategy,/coreyhaines31/marketingskills,19837,coreyhaines31/marketingskills/launch-strategy,https://skills.sh/coreyhaines31/marketingskills/launch-strategy
102,receiving-code-review,receiving-code-review,/obra/superpowers,19806,obra/superpowers/receiving-code-review,https://skills.sh/obra/superpowers/receiving-code-review
103,schema-markup,schema-markup,/coreyhaines31/marketingskills,19700,coreyhaines31/marketingskills/schema-markup,https://skills.sh/coreyhaines31/marketingskills/schema-markup
104,email-sequence,email-sequence,/coreyhaines31/marketingskills,19269,coreyhaines31/marketingskills/email-sequence,https://skills.sh/coreyhaines31/marketingskills/email-sequence
