rank,rankType,officialRank,officialMarketShare,estimatedScore,title,source,libraryId,popularityRank,snippets,tokens,updateUtc,updateAgo,trustScore,verified,benchmarkScore,type,docsRepoUrl,docsSiteUrl,score_popularity,score_snippets,score_tokens,score_trust,score_verified,score_recency
807,estimated,,,0.50588,Sumsub,/llmstxt/sumsub_llms_txt,,16941,239892,68637436,2025-10-09T13:34:49.146000Z,5mo,10,,33.9,llmstxt,https://docs.sumsub.com/llms.txt,,0.184766,0.860135,0.951752,1.0,0.0,0.158905
808,estimated,,,0.505823,Hyperledger Fabric,/hyperledger/fabric,,3514,1640,225368,2025-09-22T01:01:54.815000Z,5mo,9.6,True,75.4,repo,https://github.com/hyperledger/fabric,,0.338295,0.514018,0.65011,0.96,1.0,0.145409
809,estimated,,,0.505741,OpenTelemetry Java,/open-telemetry/opentelemetry-java,,2464,712,231779,2025-08-07T10:19:08.217000Z,7mo,9.3,True,56.2,repo,https://github.com/open-telemetry/opentelemetry-java,,0.372935,0.45614,0.65159,0.93,1.0,0.119082
810,estimated,,,0.505548,Ray,/ray-project/ray,,2016,6923,1481156,2025-09-04T16:41:48.727000Z,6mo,8.7,,80.4,repo,https://github.com/ray-project/ray,,0.392515,0.61398,0.749421,0.87,0.0,0.134131
811,estimated,,,0.505492,Wasmtime,/bytecodealliance/wasmtime,,2070,342,147225,2025-12-10T07:30:03.163000Z,3mo,9.3,True,89.2,repo,https://github.com/bytecodealliance/wasmtime,,0.389936,0.405332,0.627653,0.93,1.0,0.236136
812,estimated,,,0.505305,KServe,/kserve/kserve,,5198,652,166770,2026-03-13T08:44:01.621000Z,3d,9.1,True,88.7,repo,https://github.com/kserve/kserve,,0.300085,0.450036,0.634228,0.91,1.0,0.882508
813,estimated,,,0.505202,Valibot,/llmstxt/valibot_dev_llms-full_txt,,2175,5053,968093,2025-09-26T11:53:45.563000Z,5mo,9.7,,91.9,llmstxt,https://valibot.dev/llms-full.txt,,0.385108,0.592122,0.726991,0.97,0.0,0.148616
814,estimated,,,0.505096,Deno,/denoland/docs,,4004,1931,269702,2025-09-30T16:22:37.463000Z,5mo,9.7,True,58.9,repo,https://github.com/denoland/docs,,0.325556,0.525353,0.659582,0.97,1.0,0.151764
815,estimated,,,0.505074,PyInstaller,/pyinstaller/pyinstaller,,934,401,205585,2026-03-05T05:36:43.710000Z,12d,7.9,,87.3,repo,https://github.com/pyinstaller/pyinstaller,,0.467566,0.416353,0.645264,0.79,0.0,0.712181
816,estimated,,,0.505027,Angular,/angular/angular,,618,167,36167,2026-03-02T07:46:12.343000Z,15d,8.9,,55.7,repo,https://github.com/angular/angular,,0.507828,0.355773,0.55361,0.89,0.0,0.66616
817,estimated,,,0.504881,Apollo Server,/apollographql/apollo-server,,2528,577,163893,2025-10-29T08:51:31.172000Z,4mo,9.6,True,89.6,repo,https://github.com/apollographql/apollo-server,,0.370433,0.441565,0.63331,0.96,1.0,0.177527
818,estimated,,,0.504851,Open Policy Agent,/open-policy-agent/opa,,5083,1706,446432,2026-02-02T09:09:05.503000Z,1mo,9.2,True,75.1,repo,https://github.com/open-policy-agent/opa,,0.302268,0.516756,0.686164,0.92,1.0,0.41109
819,estimated,,,0.504837,Polar,/polarsource/polar,,1797,374,100725,2025-10-26T01:26:24.936000Z,4mo,9.1,True,77.1,repo,https://github.com/polarsource/polar,,0.403735,0.411525,0.607633,0.91,1.0,0.174117
820,estimated,,,0.504692,Microsoft Testing Platform and MSTest,/microsoft/testfx,,3897,1788,216624,2025-09-07T15:06:48.014000Z,6mo,9.9,True,79.4,repo,https://github.com/microsoft/testfx,,0.328199,0.520014,0.648023,0.99,1.0,0.135914
821,estimated,,,0.504192,Git Cliff,/orhun/git-cliff,,3138,283,55218,2026-02-28T17:01:25.975000Z,16d,10,True,75.3,repo,https://github.com/orhun/git-cliff,,0.349339,0.392226,0.575928,1.0,1.0,0.643106
822,estimated,,,0.504143,Ripgrep,/burntsushi/ripgrep,,1019,82,27478,2026-01-01T16:20:24.839000Z,2mo,9.1,True,81,repo,https://github.com/burntsushi/ripgrep,,0.459072,0.306814,0.539118,0.91,1.0,0.286596
823,estimated,,,0.503902,Letta,/llmstxt/letta_llms-full_txt,,6166,1953,651799,2026-02-13T10:04:43.538000Z,1mo,9.1,True,81.4,llmstxt,https://docs.letta.com/llms-full.txt,,0.283417,0.526139,0.706126,0.91,1.0,0.484355
824,estimated,,,0.503828,A2UI,/google/a2ui,,2709,231,79778,2026-02-24T01:04:49.661000Z,21d,9.6,True,66.1,repo,https://github.com/google/a2ui,,0.363685,0.378184,0.595335,0.96,1.0,0.584648
825,estimated,,,0.503767,Hyperf,/hyperf/hyperf,,3953,1281,248378,2025-11-01T11:27:13.936000Z,4mo,10,True,88.6,repo,https://github.com/hyperf/hyperf,,0.326807,0.496876,0.655238,1.0,1.0,0.180853
826,estimated,,,0.503615,Redis,/redis/redis-doc,,3427,1437,334210,2025-10-25T11:55:33.719000Z,4mo,9,True,74,repo,https://github.com/redis/redis-doc,,0.340742,0.504849,0.670894,0.9,1.0,0.17355
827,estimated,,,0.503588,React PDF,/diegomura/react-pdf,,605,34,11068,2025-10-12T21:36:19.083000Z,5mo,9.3,True,92.2,repo,https://github.com/diegomura/react-pdf,,0.5099,0.246859,0.491158,0.93,1.0,0.161762
828,estimated,,,0.503397,PyJWT,/jpadilla/pyjwt,,1301,66,25422,2026-01-30T23:10:29.032000Z,1mo,9.9,True,93.4,repo,https://github.com/jpadilla/pyjwt,,0.435244,0.291945,0.535016,0.99,1.0,0.397918
829,estimated,,,0.503313,HighLevel API,/gohighlevel/highlevel-api-docs,,939,356,177024,2026-03-04T09:29:44.750000Z,12d,8.1,,57.2,repo,https://github.com/gohighlevel/highlevel-api-docs,,0.467045,0.40811,0.637375,0.81,0.0,0.698287
830,estimated,,,0.503183,Ory SDKs,/ory/sdk,,9869,8405,2458615,2025-07-12T03:46:19.840000Z,8mo,9.9,True,,repo,https://github.com/ory/sdk,,0.237508,0.627447,0.776151,0.99,1.0,0.107836
831,estimated,,,0.503176,CDKTF Provider Google,/cdktf/cdktf-provider-google,,100860,1798273,171326855,2025-09-25T14:00:45.683000Z,5mo,9.1,True,32.7,repo,https://github.com/cdktf/cdktf-provider-google,,0.01062,1.0,1.0,0.91,1.0,0.147948
832,estimated,,,0.503162,LangChain AWS,/langchain-ai/langchain-aws,,1716,309,77524,2025-10-26T08:25:57.884000Z,4mo,9.2,True,76.8,repo,https://github.com/langchain-ai/langchain-aws,,0.408235,0.398308,0.593824,0.92,1.0,0.174412
833,estimated,,,0.503113,Livewire,/livewire/livewire,,734,921,214845,2026-01-13T18:17:18.211000Z,2mo,7.4,,79.6,repo,https://github.com/livewire/livewire,,0.49106,0.473989,0.647588,0.74,0.0,0.323988
834,estimated,,,0.502916,Ionic Framework,/ionic-team/ionic-framework,,3943,967,241023,2025-12-23T21:32:47.772000Z,2mo,9.9,True,76.3,repo,https://github.com/ionic-team/ionic-framework,,0.327054,0.477369,0.653652,0.99,1.0,0.26441
835,estimated,,,0.502915,Binance.NET,/jkorf/binance.net,,974,1188,332841,2025-08-25T16:33:44.077000Z,6mo,8.9,,,repo,https://github.com/jkorf/binance.net,,0.463477,0.491647,0.670677,0.89,0.0,0.128387
836,estimated,,,0.502895,VeeValidate,/logaretm/vee-validate,,2036,377,65569,2025-10-22T13:21:27.464000Z,4mo,9.8,True,89.3,repo,https://github.com/logaretm/vee-validate,,0.391552,0.412079,0.58499,0.98,1.0,0.170647
837,estimated,,,0.502786,OpenAlgo,/marketcalls/openalgo,,7557,3050,1036661,2025-12-23T12:38:56.629000Z,2mo,10,True,80.2,repo,https://github.com/marketcalls/openalgo,,0.263562,0.557078,0.730601,1.0,1.0,0.263549
838,estimated,,,0.502758,Presto,/prestodb/prestodb.github.io,,9788,9411,3226239,2025-08-04T11:36:13.102000Z,7mo,9.4,True,,repo,https://github.com/prestodb/prestodb.github.io,,0.238313,0.635296,0.790483,0.94,1.0,0.117705
